15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 499 
15:26:44 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.110001 , m_deltaWeight[ 4 ] = -39.97 
15:26:44 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.130001 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:44 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.145001 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:44 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.175001 , m_deltaWeight[ 7 ] = 0.0299997 
15:26:44 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.195001 , m_deltaWeight[ 8 ] = 0.0199995 
15:26:44 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.210001 , m_deltaWeight[ 9 ] = 0.0150003 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 510 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 0 ] = 0.0299997 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.039999 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0749998 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.09 , m_deltaWeight[ 3 ] = 40.015 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.119999 , m_deltaWeight[ 4 ] = -39.97 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.139999 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.155 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.184999 , m_deltaWeight[ 7 ] = 0.0299997 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.204999 , m_deltaWeight[ 8 ] = 0.0199995 
15:26:45 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.219999 , m_deltaWeight[ 9 ] = 0.0150003 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 511 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 0 ] = 0.0299997 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 1 ] = 0.0150003 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0800009 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.095 , m_deltaWeight[ 3 ] = 40.015 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.125 , m_deltaWeight[ 4 ] = -39.97 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.145 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.160001 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.190001 , m_deltaWeight[ 7 ] = 0.0299997 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.21 , m_deltaWeight[ 8 ] = 0.0199995 
15:26:46 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.225 , m_deltaWeight[ 9 ] = 0.0150003 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 512 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 0 ] = 0.0299997 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 1 ] = 0.0150003 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0799999 , m_deltaWeight[ 2 ] = 0.0349998 
15:26:47 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.095 , m_deltaWeight[ 3 ] = 40.015 
